Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote
JON	front	intro	hk4p			0		# Introduction to Jonah<br><br>## Part 1: General Introduction<br><br>### Outline of the Book of Jonah<br><br>1. Jonah tries to run away from Yahweh (1:1-2:10)<br>    - Jonah disobeys Yahweh’s first call to go to Nineveh (1:1–3)<br>    - Jonah and the Gentile sailors (1:4–16)<br>    - Yahweh provides a large fish to swallow Jonah, and he prays and is rescued (1:17–2:10)<br>1. Jonah in Nineveh (3:1-4:11)<br>    - Yahweh again calls Jonah to go to Nineveh, and Jonah proclaims Yahweh’s message (3:1–4)<br>    - Nineveh repents (3:5-9)<br>    - Yahweh decides not to destroy Nineveh (3:10)<br>    - Jonah is very angry with Yahweh (4:1–3)<br>    - Yahweh teaches Jonah about grace and mercy (4:4–11)<br><br>### What is the Book of Jonah about?<br><br>Jonah, son of Amittai, was a prophet from Gath Hepher (2 Kings 14:25). This book tells about what happened to Jonah. It tells how Yahweh shows mercy and grace to Gentiles. It also tells how the Ninevites repented and called out to Yahweh for mercy. (See: [[rc://en/tw/dict/bible/kt/mercy]], [[rc://en/tw/dict/bible/kt/grace]] and [[rc://en/tw/dict/bible/kt/repent]])<br><br>Yahweh sent Jonah to warn the people of Nineveh that he was ready to punish them. Yahweh said that if they would repent he would not harm them. However, Jonah was an Israelite and he did not want the Ninevites to repent. So Jonah tried to sail away in the opposite direction instead of doing what Yahweh told him to do. But Yahweh stopped him by sending a storm and a large fish to swallow him.<br><br>Jonah repented and warned the Ninevites. As a result, Yahweh taught him that he is concerned about all people, not just the Israelites.<br><br>### How should the title of this book be translated?<br><br>This book is traditionally titled **The Book of Jonah** or just **Jonah**. Translators may decide to use a clearer title such as **The Book about Jonah**. (See: [[rc://en/ta/man/translate/translate-names]])<br><br>### Who wrote the Book of Jonah?<br><br>Jonah was probably involved in the writing of this book. However, scholars do not know who actually wrote it.<br><br>Jonah lived in the northern kingdom of Israel. He prophesied sometime between 800 and 750 B.C. during the reign of King Jeroboam II.<br><br>## Part 2: Important Religious and Cultural Concepts<br><br>### What was the nation of Assyria?<br><br>During the time of Jonah, Assyria was the most powerful kingdom in the ancient Near East. Nineveh was the capital city of Assyria.<br><br>Assyria was cruel to its enemies. Eventually, Yahweh punished the Assyrians for the wicked things they did.<br><br>### Did Assyria convert to Judaism?<br><br>Some scholars think that the Assyrians started worshiping Yahweh alone. However, most scholars think they continued to worship other false gods. (See: [[rc://en/tw/dict/bible/kt/falsegod]])
JON	1	intro	xvp2			0		# Jonah 01 General Notes<br><br>## Structure and formatting<br><br>The narrative of this chapter starts abruptly. This could cause difficulty for the translator. The translator should not attempt to smooth this introduction unless absolutely necessary.<br><br>## Special concepts in this chapter<br><br>### Miracle<br><br>In verse [Jonah 17](./17.md), there is the mention of **a great fish**. It may be difficult to imagine a sea creature big enough to swallow a man whole and who then survives for three days and nights inside. Translators should not try to explain miraculous events in an attempt to make it easier to understand. (See: [[rc://en/tw/dict/bible/kt/miracle]])<br><br>## Important figures of speech in this chapter<br><br>### Situational irony<br><br>There is an ironic situation in this chapter. This means that people do or say things that are the opposite of what one would expect them to do. Jonah is a prophet of God and should endeavor to do God’s will. Instead, he is running away from God. Although the Gentile sailors are not Israelites, they act out of faith and fear of Yahweh when sending Jonah to a certain death by throwing him overboard. (See: [[rc://en/ta/man/translate/figs-irony]], [[rc://en/tw/dict/bible/kt/prophet]] and [[rc://en/tw/dict/bible/kt/willofgod]] and [[rc://en/tw/dict/bible/kt/faith]])<br><br>### Sea<br><br>People in the ancient Near East also saw the sea as chaotic and did not trust it. Some of the gods they worshiped were gods of the sea. Jonah’s people, the Hebrews, feared the sea greatly. However, Jonah’s fear of Yahweh was not enough to keep him from going into a ship and sailing to get away from Yahweh. His actions are contrasted by the actions of the Gentiles. (See: [[rc://en/ta/man/translate/figs-irony]] and [[rc://en/tw/dict/bible/kt/fear]])<br><br>## Other possible translation difficulties in this chapter<br><br>### Implicit information<br><br>Even though no one knows for sure where Tarshish was, the writer assumes that the reader knows that Jonah had to face away from Nineveh to go there. (See: [[rc://en/ta/man/translate/figs-explicit]])
JON	1	1	jdr1	writing-newevent	וַֽ⁠יְהִי֙ דְּבַר־יְהוָ֔ה	1	Now the word of Yahweh came	This phrase introduces the first half of the story of Jonah. The same phrase introduces the second half of the story (3:1). This is a common way of beginning a historical story about a prophet. (See: [[rc://en/ta/man/translate/writing-newevent]])
JON	1	1	ll6c	figs-idiom	וַֽ⁠יְהִי֙ דְּבַר־יְהוָ֔ה	1	Now the word of Yahweh came	This is an idiom meaning that Yahweh spoke or communicated his message in some way. Alternate translation: “Yahweh spoke his message” (See: [[rc://en/ta/man/translate/figs-idiom]])
JON	1	1	qa3z		דְּבַר־יְהוָ֔ה	1	the word of Yahweh	**the message of Yahweh**
JON	1	1	s6av		יְהוָ֔ה	1	Yahweh	This is the name of God that he revealed to his people in the Old Testament.
JON	1	1	jv8c	translate-names	אֲמִתַּ֖י	1	Amittai	This is the name of Jonah’s father. (See: [[rc://en/ta/man/translate/translate-names]])
JON	1	2	x5ua		ק֠וּם לֵ֧ךְ אֶל־נִֽינְוֵ֛ה הָ⁠עִ֥יר הַ⁠גְּדוֹלָ֖ה	1	Get up, go to Nineveh, the great city	**Go to the large and important city of Nineveh**
JON	1	2	v2xt	figs-idiom	ק֠וּם	1	Get up	This is an idiom that means that Jonah should take action and go. It does not mean that he was sitting or lying down at the time that God spoke to him. Many languages would use only one verb, such as “go.” (See: [[rc://en/ta/man/translate/figs-idiom]])
JON	1	2	jqz9	figs-metonymy	וּ⁠קְרָ֣א עָלֶ֑י⁠הָ	1	call out against it	The word **it** here, meaning the city of Nineveh, is a metonym referring to the people living in and around the city. Alternate translation: “warn the people” (See: [[rc://en/ta/man/translate/figs-metonymy]])
